0,action
1,activation
2,acuity
3,adaptation
4,addiction
5,anticipation
6,anxiety
7,arousal
8,association
9,association learning
10,attention
11,auditory perception
12,balance
13,categorization
14,circadian rhythm
15,cognitive control
16,color perception
17,communication
18,competition
19,concept
20,consciousness
21,consolidation
22,context
23,coordination
24,decision
25,decision making
26,detection
27,discrimination
28,Dyslexia
29,eating
30,efficiency
31,effort
32,emotion
33,emotion regulation
34,empathy
35,encoding
36,episodic memory
37,excitation
38,expectancy
39,expertise
40,extinction
41,facial expression
42,familiarity
43,fatigue
44,fear
45,feature extraction
46,filtering
47,fixation
48,focus
49,form perception
50,gaze
51,generalization
52,goal
53,hyperactivity
54,imagery
55,imagination
56,impulsivity
57,induction
58,inference
59,inhibition
60,insight
61,integration
62,intelligence
63,intention
64,interference
65,judgment
66,knowledge
67,language
68,language processing
69,learning
70,listening
71,localization
72,Locomotion
73,long term memory
74,loss
75,maintenance
76,manipulation
77,meaning
78,memory
79,memory retrieval
80,monitoring
81,mood
82,morphology
83,motor control
84,movement
85,multisensory
86,naming
87,navigation
88,neuroplasticity
89,object recognition
90,pain
91,pattern recognition
92,perception
93,phonetics
94,planning
95,priming
96,problem solving
97,psychosis
98,reading
99,reasoning
100,recall
101,recognition
102,resource
103,response inhibition
104,retention
105,retrieval
106,reward processing
107,rhythm
108,risk
109,routine
110,rule
111,salience
112,search
113,selective attention
114,semantic processing
115,short term memory
116,skill
117,sleep
118,social cognition
119,spatial attention
120,speech perception
121,strategy
122,Strength
123,stress
124,task difficulty
125,theory of mind
126,thought
127,transduction
128,uncertainty
129,utility
130,valence
131,verbal memory
132,visual acuity
133,visual attention
134,visual pattern recognition
135,visual perception
136,word recognition
137,working memory
